tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,speedup_vs_naive_mean,centroid_run_ms_mean,naive_bfs_run_ms_mean,speedup_vs_naive_std,centroid_run_ms_std,naive_bfs_run_ms_std
path,balanced,300,50000,7486.0,42514.0,0.445,1.352,13.662,0.021,45.168,10.105,34.953,21484.0,1500.0,13628.0,11.145000000000001,1.3323333333333334,14.545333333333334,2.9251135020713295,0.1584182228575151,1.9963828123216578
path,balanced,400,50000,7526.0,42474.0,0.743,1.815,13.337,0.024,17.786,7.451,8.967,29984.0,2000.0,18128.0,7.618666666666667,1.8630000000000002,14.285333333333332,1.5692324025883917,0.10553198567259121,3.7095563526294257
path,balanced,500,50000,7539.0,42461.0,0.957,1.764,14.125,0.031,70.988,8.241,40.057,38484.0,2500.0,22628.0,8.704333333333333,1.7666666666666666,15.412,1.2198820981280663,0.054049360156558285,2.579705215717488
path,balanced,600,50000,7539.0,42461.0,1.14,1.813,16.038,0.037,38.328,7.464,21.143,47696.0,3000.0,29528.0,7.778,1.9736666666666667,15.301333333333332,0.9516779917598178,0.28088491118843223,2.309850283748567
path,balanced,700,50000,7491.0,42509.0,1.377,1.966,15.475,0.053,100.346,8.029,49.17,56996.0,3500.0,34428.0,8.157,1.978,16.117,0.8007103096626138,0.05793962374748384,1.3946196614131023
path,balanced,800,50000,7493.0,42507.0,1.6,2.343,15.428,0.042,71.591,6.531,30.551,66296.0,4000.0,39328.0,6.838666666666666,2.272,15.389000000000001,0.8474752700423378,0.26376694258378924,0.07280796659707053
path,balanced,900,50000,7566.0,42434.0,1.998,2.054,13.149,0.053,90.742,6.317,44.187,75596.0,4500.0,44228.0,6.7250000000000005,2.031333333333333,13.624,0.9612928794077279,0.06408067831517797,1.524065287315475
path,balanced,1000,50000,7441.0,42559.0,2.07,2.029,16.298,0.045,74.349,8.011,36.645,84896.0,5000.0,49128.0,8.016333333333334,2.0996666666666663,16.74,0.9630110764333565,0.18539237668613393,1.3197317909332948
path,balanced,1100,50000,7485.0,42515.0,2.728,2.037,16.821,0.053,83.301,6.917,38.985,94812.0,5500.0,58556.0,7.311333333333334,2.2696666666666667,16.501333333333335,0.8245449249939832,0.4047237741143129,2.6072392167450484
path,balanced,1200,50000,7434.0,42566.0,2.329,2.09,16.684,0.057,84.552,7.983,40.455,104912.0,6000.0,63856.0,7.866,2.1026666666666665,16.531333333333333,0.2785803295281276,0.02821937868439563,0.3694662817272165
path,balanced,1300,50000,7619.0,42381.0,2.636,2.17,20.103,0.059,118.195,9.651,61.323,115012.0,6500.0,69156.0,10.443666666666667,2.021,18.965333333333334,3.7248035294943183,0.8631992817420552,2.7323188564538605
path,balanced,1400,50000,7510.0,42490.0,2.771,2.213,17.415,0.061,116.671,10.846,54.841,125112.0,7000.0,74456.0,10.206000000000001,1.8363333333333334,17.727666666666668,2.513862366956473,0.7677456175930497,6.127985340495956
path,balanced,1500,50000,7505.0,42495.0,3.211,2.203,18.543,0.062,104.623,8.51,48.016,135212.0,7500.0,79756.0,8.428333333333333,2.25,18.904666666666667,1.0468917486222407,0.1028931484599437,1.7241874414730352
path,balanced,1600,50000,7461.0,42539.0,3.394,2.254,17.959,0.066,118.631,9.176,55.967,145312.0,8000.0,85056.0,8.941333333333334,2.044,18.040000000000003,1.0763597601793438,0.4149746980238674,2.607443767370641
path,balanced,1700,50000,7472.0,42528.0,3.465,2.198,20.499,0.048,122.155,11.032,53.891,155412.0,8500.0,90356.0,10.436666666666667,2.1103333333333336,21.933333333333334,1.30698788568729,0.26941850963386543,3.2483821101177948
