seed,tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,checksum
42,random,read_heavy,300,50000,471,49529,0.246,0.511,5.828,0.008,10.737,11.408,21.016,18076,1500,13628,65533
42,random,read_heavy,400,50000,504,49496,0.313,0.437,5.874,0.012,12.849,13.432,29.382,102400,2000,18128,63798
42,random,read_heavy,500,50000,486,49514,0.367,0.469,6.264,0.01,14.281,13.365,30.47,16384,2500,22628,78411
42,random,read_heavy,600,50000,534,49466,0.453,0.497,9.632,0.034,18.48,19.369,37.16,45056,3000,20480,105480
42,random,read_heavy,700,50000,513,49487,0.595,0.483,8.676,0.024,22.13,17.978,45.857,86016,3500,12288,99299
42,random,read_heavy,800,50000,523,49477,0.624,0.524,11.235,0.024,24.768,21.457,47.304,77824,4000,12288,115264
42,random,read_heavy,900,50000,529,49471,0.905,0.61,7.974,0.023,28.477,13.068,46.668,65536,4500,16384,114504
42,random,read_heavy,1000,50000,514,49486,0.755,0.547,14.336,0.034,26.239,26.19,47.934,57344,5000,24576,157446
42,random,read_heavy,1100,50000,497,49503,1.379,0.639,10.575,0.038,34.465,16.55,53.936,131072,5500,28672,135672
42,random,read_heavy,1200,50000,495,49505,1.123,0.638,10.623,0.035,47.846,16.65,74.994,147456,6000,12288,142412
42,random,read_heavy,1300,50000,515,49485,1.09,0.583,18.069,0.072,45.554,30.993,78.137,151552,6500,77824,178060
42,random,read_heavy,1400,50000,529,49471,1.519,0.646,13.941,0.047,38.377,21.577,59.399,167936,7000,28672,157169
42,random,read_heavy,1500,50000,509,49491,1.392,0.551,20.891,0.075,45.248,37.907,82.104,307200,4096,53248,185998
42,random,read_heavy,1600,50000,512,49488,1.516,0.662,16.606,0.056,46.621,25.065,70.371,208896,8000,65536,173515
42,random,read_heavy,1700,50000,510,49490,1.253,0.528,15.869,0.055,48.283,30.044,91.411,241664,8500,53248,186005
42,random,read_heavy,1800,50000,512,49488,1.52,0.625,17.346,0.06,48.511,27.745,77.592,245760,4096,81920,195980
42,random,read_heavy,1900,50000,498,49502,1.435,0.674,20.379,0.06,46.495,30.231,68.974,307200,9500,94208,203891
42,random,read_heavy,2000,50000,488,49512,1.518,0.548,25.509,0.066,50.614,46.55,92.362,303104,10000,86016,219988
42,random,read_heavy,2100,50000,531,49469,1.618,0.565,19.892,0.077,53.871,35.189,95.297,290816,10500,98304,209611
42,random,read_heavy,2200,50000,501,49499,2.058,0.64,21.02,0.081,59.895,32.838,93.572,315392,11000,126976,215355
